strain_name,sample_count,Percentage
B.1.258.14,111,0.002662230575070585
B.55,111,0.002662230575070585
B.11,111,0.002662230575070585
B.1.1.376,107,0.0025662943381311045
A.28,106,0.002542310278896234
B.1.177.51,106,0.002542310278896234
B.1.451,105,0.002518326219661364
B.1.338,105,0.002518326219661364
B.1.36.12,104,0.0024943421604264942
B.1.1.265,103,0.002470358101191624
B.1.273,103,0.002470358101191624
B.1.260,103,0.002470358101191624
AH.2,101,0.002422389982721884
B.1.439,101,0.002422389982721884
B.1.177.71,100,0.0023984059234870136
B.1.1.125,100,0.0023984059234870136
AY.15,98,0.0023504378050172733
B.1.1.419,98,0.0023504378050172733
B.1.177.53,98,0.0023504378050172733
AY.124.1,98,0.0023504378050172733
B.1.160.9,97,0.002326453745782403
B.1.36.10,97,0.002326453745782403
B.1.1.329,97,0.002326453745782403
B.1.268,97,0.002326453745782403
AY.128,97,0.002326453745782403
B.1.597,95,0.002278485627312663
B.1.1.204,95,0.002278485627312663
B.1.215,95,0.002278485627312663
B.1.1.406,94,0.0022545015680777926
B.1.370,94,0.0022545015680777926
B.1.105,94,0.0022545015680777926
B.1.1.47,94,0.0022545015680777926
B.1.1.487,93,0.0022305175088429227
B.1.395,93,0.0022305175088429227
B.1.177.33,92,0.0022065334496080527
B.1.402,92,0.0022065334496080527
B.1.436,92,0.0022065334496080527
B.1.1.205,91,0.0021825493903731823
B.1.1.180,90,0.0021585653311383124
B.1.160.28,89,0.002134581271903442
B.1.108,89,0.002134581271903442
U.1,89,0.002134581271903442
B.1.1.236,89,0.002134581271903442
B.1.1.305,89,0.002134581271903442
